geo,vid,estimate,estlb,estub,estse,estrse,pop,number,numlb,numub,numerator,denominator,indicator,year,datatype
Auburn-North,1000,14.0,8.0,23.0,3.72228446,25.958490999999999,38061,5500,3200,8900,28,295,medcost,2012,survey
Auburn-South,1100,21.0,13.0,34.0,5.36896827,25.215083,25274,5400,3200,8500,29,180,medcost,2012,survey
Ballard,2000,9.0,5.0,15.0,2.47033825,28.332279999999997,51489,4500,2500,7700,40,570,medcost,2012,survey
Beacon/Gtown/S.Park,2100,15.0,9.0,24.0,3.84977457,25.419076,39649,6000,3600,9600,31,288,medcost,2012,survey
Bear Creek/Carnation/Duvall,3000,9.0,5.0,14.0,2.17623308,25.306381000000002,64508,5500,3300,9000,34,556,medcost,2012,survey
Bellevue-Central,4000,15.0,9.0,23.0,3.49994928,23.278199000000001,35568,5300,3300,8300,26,301,medcost,2012,survey
Bellevue-NE,4100,9.0,5.0,17.0,2.89123457,31.977533000000001,34899,3200,1700,5800,23,328,medcost,2012,survey
Bellevue-South,4200,6.0,3.0,10.0,1.68045575,28.146023999999997,31530,1900,1100,3200,18,280,medcost,2012,survey
Bellevue-West,4300,9.0,5.0,14.0,2.29900066,26.493882000000003,28371,2500,1400,4100,18,277,medcost,2012,survey
Black Diamond/Enumclaw/SE County,5000,10.0,7.0,14.0,1.89686269,19.106572999999997,45386,4500,3100,6500,38,420,medcost,2012,survey
Bothell/Woodinville,6000,8.0,5.0,13.0,2.07637271,25.894509999999997,32984,2600,1600,4300,24,284,medcost,2012,survey
Burien,7000,19.0,14.0,25.0,3.01477415,16.079011000000001,47544,8900,6400,12100,81,642,medcost,2012,survey
Capitol Hill/E.lake,2200,18.0,12.0,26.0,3.41164526,19.005337000000001,45483,8200,5500,11700,54,478,medcost,2012,survey
Central Seattle,2300,20.0,13.0,30.0,4.23411405,21.004693,44572,9000,5800,13200,47,418,medcost,2012,survey
Covington/Maple Valley,8000,10.0,7.0,15.0,2.09369493,20.321876,54611,5600,3700,8300,40,459,medcost,2012,survey
Delridge,2400,16.0,10.0,25.0,3.67775186,22.992692999999999,30374,4900,3000,7500,34,279,medcost,2012,survey
